Partei,Monat,Anzahl der Posts,Kumulative Anzahl
spdde,2021-02,31,412
spdde,2021-03,37,449
spdde,2021-04,20,469
spdde,2021-05,52,521
spdde,2021-06,71,592
spdde,2021-07,82,674
spdde,2021-08,95,769
spdde,2021-09,146,915
spdde,2021-10,23,938
spdde,2021-11,34,972
spdde,2021-12,61,1033
spdde,2022-01,36,1069
spdde,2022-02,70,1139
spdde,2022-03,67,1206
spdde,2022-04,69,1275
spdde,2022-05,78,1353
spdde,2022-06,57,1410
spdde,2022-07,35,1445
spdde,2022-08,15,1460
spdde,2022-09,75,1535
spdde,2022-10,69,1604
spdde,2022-11,46,1650
spdde,2022-12,35,1685
spdde,2023-01,42,1727
spdde,2023-02,68,1795
spdde,2023-03,42,1837
spdde,2023-04,59,1896
spdde,2023-05,79,1975
spdde,2023-06,39,2014
spdde,2023-07,24,2038
spdde,2023-08,67,2105
spdde,2023-09,18,2123
spdde,2023-10,49,2172
spdde,2023-11,27,2199
spdde,2023-12,32,2231
spdde,2024-01,46,2277
spdde,2024-02,50,2327
spdde,2024-03,41,2368
spdde,2024-04,58,2426
spdde,2024-05,91,2517
spdde,2024-06,42,2559
spdde,2024-07,34,2593
spdde,2024-08,57,2650
spdde,2024-09,14,2664
spdde,2024-10,14,2678
spdde,2024-11,82,2760
spdde,2024-12,56,2816
