Partei,Monat,durchschnittlicher Farbanteil
die_gruenen,2021-10,0.1243
die_gruenen,2021-11,0.5811
die_gruenen,2021-12,0.6046
die_gruenen,2022-01,0.2099
die_gruenen,2022-02,0.358
die_gruenen,2022-03,0.4921
die_gruenen,2022-04,0.5892
die_gruenen,2022-05,0.4643
die_gruenen,2022-06,0.6915
die_gruenen,2022-07,0.649
die_gruenen,2022-08,0.4897
die_gruenen,2022-09,0.6719
die_gruenen,2022-10,0.5341
die_gruenen,2022-11,0.7227
die_gruenen,2022-12,0.5557
die_gruenen,2023-01,0.7502
die_gruenen,2023-02,0.5586
die_gruenen,2023-03,0.7607
die_gruenen,2023-04,0.8036
die_gruenen,2023-05,0.6798
die_gruenen,2023-06,0.6288
die_gruenen,2023-07,0.7986
die_gruenen,2023-08,0.7108
die_gruenen,2023-09,0.5179
die_gruenen,2023-10,0.3645
die_gruenen,2023-11,0.3135
die_gruenen,2023-12,0.4188
die_gruenen,2024-01,0.3339
die_gruenen,2024-02,0.3844
die_gruenen,2024-03,0.4172
die_gruenen,2024-04,0.3184
die_gruenen,2024-05,0.2274
die_gruenen,2024-06,0.2059
die_gruenen,2024-07,0.2676
die_gruenen,2024-08,0.2621
die_gruenen,2024-09,0.1243
die_gruenen,2024-10,0.399
die_gruenen,2024-11,0.1505
die_gruenen,2024-12,0.2046
dielinke,2014-02,0.0866
dielinke,2014-03,0.0
dielinke,2014-04,0.0
dielinke,2014-05,0.0
dielinke,2014-06,0.0
dielinke,2014-07,0.0
dielinke,2014-08,0.0
dielinke,2014-09,0.0
dielinke,2014-10,0.0
dielinke,2014-11,0.0
dielinke,2014-12,0.0
dielinke,2015-01,0.0
dielinke,2015-02,0.0
dielinke,2015-03,0.0
dielinke,2015-04,0.0
dielinke,2015-05,0.0948
dielinke,2015-06,0.115
dielinke,2015-07,0.0515
dielinke,2015-08,0.1126
dielinke,2015-09,0.0525
dielinke,2015-10,0.1616
dielinke,2015-11,0.0783
dielinke,2015-12,0.0686
dielinke,2016-01,0.1367
dielinke,2016-02,0.2198
dielinke,2016-03,0.0818
dielinke,2016-04,0.0568
dielinke,2016-05,0.1213
